image,product_name,price,category,description
"https://www.buymebeauty.co.uk/wp-content/uploads/2019/10/gentlecreamexfoliant_590x617-1.jpg,https://www.buymebeauty.co.uk/wp-content/uploads/2019/10/gentlecreamexfoliant_590x617.jpg",Gentle Cream Exfoliant,19.00,"Dermalogica,Exfoliants,Sale %","Super soothing-masque.,Lactic and Hydroxy Acid exfoliating masque for dramatic skin smoothing. Non-abrasive exfoliation treatment helps stimulate cell renewal as natural fruit enzymes detach dead skin cells to improve skin texture."
https://www.buymebeauty.co.uk/wp-content/uploads/2020/04/0000578_vitamin-c-plus_400.jpeg,Vitamin C Plus – 80 Tablets,22.41,"Advanced Nutrition Programme,Immunity","Vitamin C Plus contains 1000mg of vitamin C combined with bioflavonoids to help support your natural immune defences and to help reduce fatigue* especially during the winter season or during stressful periods.,– Supports normal immune system function,
– Helps to reduce tiredness and fatigue*,
– Protects cells from oxidative stress* & helps the immune system"
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/0000579_skin-vit-a_400.jpeg,Skin Vitamin A+ – 60 Capsules,16.60,"Advanced Nutrition Programme,Anti-Ageing,General Skin Health,Immunity","Vitamin A is one of the most important nutrients for skin and is a staple skincare supplement suitable for everyone. It encourages skin cell renewal and helps to restore the skin’s health.,We’ve added Vitamin D which plays an important role in bone and muscle health. It also plays an important role in the immune system."
https://www.buymebeauty.co.uk/wp-content/uploads/2020/04/0000639_skin-moisture-lock-plus_400.jpeg,Skin Moisture Lock Plus – 120 Capsules,70.55,"Advanced Nutrition Programme,Skin Hydration","Offer anti-ageing results with NEW Skin Moisture Lock™ Plus. This combination of Skin Moisture Lock™ and Skin Omegas+ work in synergy to protect, plump and promote a softer, dewy appearance. This NEW dynamic duo is perfect for the winter months when ceramide levels drop and skin becomes tight and dry.,Skin Omegas+ work within the skin cell membrane to stop moisture escaping. Skin Moisture Lock™  works between skin cells to smooth and plump out wrinkles.,ALLERGEN: contains fish and wheat,Not suitable for Vegetarians or Vegans due to softgel made from fish gelatine."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/09/Gentle-Cleanser-fx110-bottle-scaled.jpg,PRIORI® Gentle Cleanser LCA fx110,24.90,"Adaptive Cleansers,Priori",Light balm/creamy-textured daily cleanser. Smart enough for many skin types.
https://www.buymebeauty.co.uk/wp-content/uploads/2019/09/Night-Ritual-Vitamin-A_A.png,Night Ritual Vitamin A™,37.35,Skin Ageing,"Age-Defying Retinol Cream,Wake up to renewed skin with Night Ritual Vitamin A. This rich, rejuvenating vitamin A cream melts upon application, delivering a powerful anti-ageing complex deep into the skin. Working as you sleep, the delicately-scented cream strengthens as it nourishes to leave skin hydrated and visibly more youthful. The most effective ingredient in anti-ageing, vitamin A (aka ,), improves skin texture, minimises the appearance of fine lines and wrinkles and balances uneven skin tone. , also helps to decongest pores and regulate sebum production for a clearer looking complexion. The nourishing cream uses advanced Time Release Technology to deliver vitamin A into the skin gradually over time while being gentle on skin. At the same time, , and , provide exceptional antioxidant protection against damaging free radicals accumulated through environmental damage throughout the day. The result is a smoother looking, more supple complexion that’s noticeably radiant. That’s why we consider all our , products: “intelligent retinol”. Read more about what makes them so intelligent "
https://www.buymebeauty.co.uk/wp-content/uploads/2019/10/6.png,Crystal Retinal 6™,48.97,Skin Ageing,"Stable Retinal Night Serum Super-Strength Vitamin A,
Perfect for those who are wanting to upgrade their high-strength retinol results.,
,Rediscover youthful skin with Crystal Retinal™, Medik8’s latest innovation in vitamin A is now available in four strengths. Formulated with stabilised retinal, a powerful derivative of vitamin A with next-generation anti-ageing results. Unmatched in its age-defying power, , can deliver results comparable to clinical-grade vitamin A up to 11 times faster than classic forms of ,., The ground-breaking overnight serum visibly minimises fine lines and wrinkles; firming and plumping the complexion to resurface skin texture and soften the face. Featuring ,, , and ,, it hydrates skin at every level to deliver a supple, even-toned, more youthful-looking complexion. More than that, it actively helps reduce blemish-causing bacteria to keep skin clear and balanced. In just 4 weeks, skin is noticeably younger, smoother and undeniably radiant.,Please note- Due to the strength of this product we would advise you contact us on 01392 878838 before purchase to discuss suitability. We recommend that your skin is used to retinol before using this product to avoid a retinoid reaction, which presents itself with redness,drying and flaking of the skin."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/09/Glow-Oil_A.png,Glow Oil™,33.20,Skin Ageing,"The Facial Oil with Vitamin C,A silky, dry-touch facial oil infused with high-performance vitamin C. The fast-absorbing formula rapidly restores radiance while maintaining hydration within the skin. The stabilised vitamin C slows the appearance of fine lines and wrinkles as well as providing antioxidant protection against environmental stressors. Fortified with omega 3 and 6 plus a blend of 12 essential oils carefully selected for their skin nourishing and antioxidant properties. Glow Oil brightens and revitalises the complexion while preventing free radical damage at the hands of UV exposure and pollution. This powerful daily oil helps to prevent premature skin ageing, refine skin texture and leave skin glowing-from-within, day after day."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/09/Natural-Clay-Mask_A.png,Natural Clay Mask™,24.07,Blemish,"Purifying & Decongesting Ritual,Enriched with the purifying energy of , and , clay, this clarifying facial mask gently detoxes the skin to promote a clear, radiant complexion. Deep-seated impurities are instantly melted away, the skin’s natural oils are brought back into balance and pores are undeniably refined. Expertly blended to nourish and care for your complexion, the silky formula uses extracts of cranberry to enhance skin texture and luminosity, while , locks in moisture for optimal hydration. In just 10 minutes, skin appears uplifted and revitalised. This deep-cleansing ritual can be enjoyed daily or weekly as part of your normal regime. Perfect for indulging the senses while keeping blemishes at bay."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/09/White-Balance-Origianl-Serum_A-scaled.jpg,White Balance® Original Serum,37.35,Pigmentation,"with Kojic Acid,White Balance Original Serum is a two-part, click-activated brightening system that targets the 7 causes of hyperpigmentation. The innovative formula helps to reduce the appearance of many types of pigmentation including; dark spots, age spots, blotchiness, sun damage, uneven skin tone and melasma. Using a carefully crafted selection of the best skin-brightening actives, including intelligently stabilised ,, , and ,, the serum visibly improves concentrated areas of pigmentation to balance overall skin tone, while preventing future discolouration. Known for being difficult to stabilise, , is preserved with Medik8 Click™ technology, a unique packaging system that releases the active into the hydrating formula below just seconds before the first application, to ensure it remains potent and fresh. This beautiful formula does not include hydroquinone."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/10/Calmwise-Soothing-Cleanser_A.png,Calmwise Soothing Cleanser ™,17.43,Redness,"Ultra-Mild Chlorophyll Foam,Sympathetic to sensitised skin, Calmwise Soothing Cleanser helps to control the appearance of redness at its root cause, providing fast relief for red, irritated skin. By improving the skin’s barrier function, this innovative sweet orange-infused cleanser ensures environmental stress, soreness and surface irritation become problems of the past. Fortified with naturally green , for its healing and antioxidant properties, skin-strengthening , to help improve skin health, and patented , to calm discomfort and inflammation. Impurities and make-up are gently cleansed away and skin is left comfortable, hydrated and detoxified without being stripped of its natural protective oils. The lightweight foam also helps to minimise the appearance of fine lines and wrinkles, enlarged pores and uneven skin tone."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/GRTkgbeQ.png,Vita-Peptide Toner,,Youth EssentiA,"Environ Youth EssentiA Vita Peptide Toner is recognised as a skin rejuvenating toner which has been formulated to facilitate increased penetration of ingredients found in Environ moisturisers and to increase hydration. You can apply this Environ toner with a cotton wool swab or similar to the face and neck areas and it is suitable for all skin types and conditions except problematic skins.,Your skin will take on a more even tome, be better hydrated and soften those fine lines and wrinkles. The increased penetration in the skin helps the performance of the product and does not contain and harsh chemicals that could damage the skin fragrances."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/skin_essentia_avst_moisturiser_2-scaled.jpeg,Vita-Antioxidant AVST Moisturiser 2,,Skin EssentiA,"Within the Vita-Antioxidant AVST Moisturiser range of skincare products the Skin EssentiA AVST 2 is the second step in the system and a slightly higher level of Vitamin A and C to  a Medium level plus antioxidants. This unique emulsion assists in normalising, repairing with its anti-bacterial properties and moisturising the skin.,Environ Skin EssentiA AVST 2 is to be applied morning and evening in lightly upward motions and you can include the eye area.,After using the AVST 1 and hence your skin acclimatising to Vitamin A products the improved results become even more noticeable. So, to help your skin look younger for longer the AVST range could be perfect for you, especially if at an early age you have been a sun worshipper and have already started your skin ageing too early.,Please note- Due to the strength of this product we would advise you contact us on 01392 878838 before purchase to discuss suitability. This product is part of a step-up system and would require you to have used AVST 1 X2 before using AVST 2."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Botanical-Infused-Sebu-Tone-Clarifier.jpg,Sebu-Tone Clarifier,,Focus Care Clarity+,"Bontanical Infused Sebu-Tone Clarifier is formulated with clarifying exfoliators and sebum regulating ingredients. This toner is the second product in phase 1 of the 3 phase process and helps to remove the build-up of dead skin cells and assists in minimising the appearance of an oily shine, leaving the skin looking smoother and more refined.,Suitable for any skin prone to breakouts or oily skins."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/Concentrated-Retinol-Serum-1.jpg,Retinol Serum 1,,Focus Care Youth+,"The Environ Concentrated Retinol 1 is stage one of an intensive treatment range containing a high dosage of Vitamin A for optimal skin health and skin rejuvenation. For skins that have been photo aged, have pigmented or problem skins. The Environ Retinol formula helps to normalise the skins and help promote the production of collagen and elastin.,The Environ Retinol range would not be for people with sensitive skins or those who have not acclimatised their skins to Environ AVST 5 or Ionzyme® C-Quence 3.  These intensive products produce great results but must be used at the correct time and way.,Please note- Due to the strength of this product we would advise you contact us on 01392 878838 before purchase to discuss suitability."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/07/environ-low-foam-cleansing-gel.jpg,Low Foam Cleansing Gel,,Skin EssentiA,"Low Foam Cleansing Gel containins a combination of various surfactants and conditioning agents, this cleanser removes excess oil, make-up and surface impurities while assisting in maintaining skin’s natural moisture balance. It rinses off easily and leaves skin feeling refreshed and clean."
https://www.buymebeauty.co.uk/wp-content/uploads/2019/10/dailyresurfacer_590x617.jpg,Daily Resurfacer,56.03,Exfoliants,"Leave on, brightening exfoliant.,Daily, leave-on exfoliating treatment to brighten and tone all skin conditions. Each precisely-measured, leave-on dose contains one application of alpha and beta hydroxy acids and enzymes to smooth the skin, helping to reduce the signs of premature aging without irritation or redness."
